City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,inhambane,-23.865,35.3833,23.99000000000001,88,75,2.57,MZ,1696907829
67,huarmey,-10.0681,-78.1522,18.80000000000001,89,99,3.63,PE,1696907392
68,dapa,9.7594,126.0531,26.640000000000043,84,100,2.43,PH,1696907831
69,fort bragg,35.139,-79.006,16.32000000000005,62,0,3.09,US,1696907831
70,vershino-darasunskiy,52.35,115.5167,9.120000000000005,40,99,0.85,RU,1696907832
71,porbandar,21.6422,69.6093,27.29000000000002,69,1,4.9,IN,1696907703
72,craig,40.5153,-107.5464,9.79000000000002,49,0,2.57,US,1696907705
73,chongwe,-15.3292,28.682,21.230000000000018,49,8,3.27,ZM,1696907834
74,puerto ayora,-0.7393,-90.3518,24.189999999999998,94,29,4.92,EC,1696907834
75,sindgi,16.9167,76.2333,27.83000000000004,50,13,0.69,IN,1696907835
76,blackmans bay,-43.0167,147.3167,16.960000000000036,66,54,2.45,AU,1696907836
77,guilin,25.2819,110.2864,21.060000000000002,69,100,4.91,CN,1696907837
78,happy valley-goose bay,53.3168,-60.3315,13.170000000000016,58,100,1.54,CA,1696907448
79,punta arenas,-53.15,-70.9167,1.0600000000000023,69,20,8.23,CL,1696907838
80,ushuaia,-54.8,-68.3,-0.18999999999999773,93,75,12.52,AR,1696907838
81,kirovsk,48.6375,38.6428,1.990000000000009,61,32,3.09,UA,1696907839
82,portland,45.5234,-122.6762,16.450000000000045,85,64,1.79,US,1696907789
83,port lincoln,-34.7333,135.8667,19.460000000000036,57,2,2.21,AU,1696907347
84,lashio,22.9333,97.75,21.52000000000004,94,100,0.39,MM,1696907841
85,broken hill,-31.95,141.4333,24.350000000000023,39,1,3.69,AU,1696907398
86,port blair,11.6667,92.75,27.02000000000004,89,100,3.6,IN,1696907747
87,whangarei,-35.7317,174.3239,16.80000000000001,54,45,4.63,NZ,1696907842
88,rexburg,43.826,-111.7897,13.990000000000009,58,0,0.0,US,1696907843
89,bilibino,68.0546,166.4372,-8.359999999999957,96,99,0.58,RU,1696907604
90,selfoss,63.9331,-20.9971,3.3600000000000136,76,71,8.68,IS,1696907296
91,port-aux-francais,-49.35,70.2167,2.0100000000000477,76,35,17.45,TF,1696907846
92,piti village,13.4626,144.6933,27.49000000000001,93,100,9.77,GU,1696907437
93,tiksi,71.6872,128.8694,-8.689999999999998,93,96,3.11,RU,1696907276
94,darhan,49.4867,105.9228,11.840000000000032,54,15,1.18,MN,1696907848
95,bikenibeu village,1.3673,173.1241,29.140000000000043,64,81,1.16,KI,1696907483
96,keflavik,64.0049,-22.5624,4.9500000000000455,87,75,12.35,IS,1696907851
97,bethel,41.3712,-73.414,10.520000000000039,84,20,1.54,US,1696907757
98,ituango,7.1712,-75.764,18.660000000000025,99,100,0.49,CO,1696907852
99,crane,31.3974,-102.3501,22.340000000000032,49,86,5.79,US,1696907466
100,la ronge,55.1001,-105.2842,11.140000000000043,58,0,6.69,CA,1696907854
101,egilsstadir,65.2653,-14.3948,3.9500000000000455,65,75,3.6,IS,1696907641
102,katsuura,35.1333,140.3,22.010000000000048,77,90,2.3,JP,1696907857
103,hilton head island,32.2163,-80.7526,18.879999999999995,74,0,0.0,US,1696907616
104,lorengau,-2.0226,147.2712,29.03000000000003,77,54,3.81,PG,1696907859
105,shubarshi,48.5872,57.1869,5.770000000000039,55,0,3.64,KZ,1696907860
106,thinadhoo,0.5333,72.9333,27.77000000000004,79,82,7.87,MV,1696907860
107,mana,5.6592,-53.7767,25.870000000000005,78,0,4.14,GF,1696907283
108,broome,42.2506,-75.833,7.430000000000007,91,51,0.89,US,1696907862
109,viqueque,-8.8673,126.3658,30.910000000000025,51,53,3.56,TL,1696907863
110,santa vitoria do palmar,-33.5189,-53.3681,13.180000000000007,84,23,3.43,BR,1696907863
111,inirida,3.8653,-67.9239,24.100000000000023,97,78,1.47,CO,1696907866
112,el alto,-4.2714,-81.2147,19.510000000000048,82,28,6.15,PE,1696907867
113,port alfred,-33.5906,26.891,13.430000000000007,96,100,5.41,ZA,1696907867
114,kushnarenkovo,55.105,55.3508,5.550000000000011,93,100,4.01,RU,1696907868
115,hastings,50.8552,0.5729,16.400000000000034,49,100,4.11,GB,1696907583
116,tonota,-21.4833,27.4833,15.240000000000009,93,14,3.1,BW,1696907869
117,sinop,41.7711,34.8709,8.330000000000041,88,100,1.68,TR,1696907870
118,machico,32.7,-16.7667,27.620000000000005,41,20,0.51,PT,1696907870
119,iskateley,67.6803,53.1512,1.1200000000000045,75,100,6.26,RU,1696907871
120,newman,37.3138,-121.0208,18.900000000000034,51,54,2.15,US,1696907497
121,nova sintra,14.8667,-24.7167,24.720000000000027,83,97,2.18,CV,1696907455
122,hawaiian paradise park,19.5933,-154.9731,26.730000000000018,79,20,3.09,US,1696907874
123,puerto madryn,-42.7692,-65.0385,15.270000000000039,35,84,6.75,AR,1696907701
124,solnechnyy,50.7214,136.6319,8.350000000000023,45,0,1.32,RU,1696907449
125,buurhakaba,2.8026,44.0781,23.230000000000018,79,25,2.93,SO,1696907876
126,jiangyou,31.7667,104.7167,17.57000000000005,81,76,2.71,CN,1696907877
127,yellowknife,62.456,-114.3525,13.010000000000048,85,48,5.36,CA,1696907280
128,kruisfontein,-34.0033,24.7314,12.710000000000036,92,100,2.1,ZA,1696907881
129,tura,25.5198,90.2201,24.900000000000034,85,99,0.52,IN,1696907883
130,papatowai,-46.5619,169.4708,8.680000000000007,63,88,8.01,NZ,1696907887
131,juneau,58.3019,-134.4197,11.0,93,75,7.2,US,1696907888
132,baiti,13.745,-14.7482,24.74000000000001,86,100,1.35,SN,1696907340
133,dunedin,-45.8742,170.5036,12.110000000000014,53,85,5.81,NZ,1696907250
134,iqaluit,63.7506,-68.5145,-1.1499999999999773,80,75,3.09,CA,1696907625
135,melekeok village,7.4957,134.6367,27.310000000000002,89,100,7.2,PW,1696907892
136,college,64.8569,-147.8028,-0.3100000000000023,90,100,2.57,US,1696907712
137,basco,20.4487,121.9702,28.57000000000005,76,93,8.61,PH,1696907894
138,vila franca do campo,37.7167,-25.4333,22.230000000000018,90,30,8.74,PT,1696907894
139,richards bay,-28.783,32.0377,19.760000000000048,89,100,1.13,ZA,1696907895
140,kapa'a,22.0752,-159.319,29.99000000000001,77,40,7.2,US,1696907895
141,weno,7.4515,151.8468,28.53000000000003,78,31,5.92,FM,1696907311
142,olinda,-8.0089,-34.8553,25.850000000000023,73,40,3.6,BR,1696907783
143,salalah,17.0151,54.0924,25.05000000000001,88,20,2.06,OM,1696907897
144,nouadhibou,20.931,-17.0347,22.99000000000001,88,100,5.14,MR,1696907675
145,vila velha,-20.3297,-40.2925,24.970000000000027,88,40,4.47,BR,1696907318
146,uray,60.1247,64.7758,2.7100000000000364,75,29,5.36,RU,1696907657
147,fale old settlement,-9.3852,-171.2468,28.879999999999995,77,100,6.71,TK,1696907656
148,st. john's,47.5649,-52.7093,9.980000000000018,98,100,2.57,CA,1696907623
149,city of balikpapan,-1.242,116.8942,30.970000000000027,70,20,3.6,ID,1696907901
150,manokwari,-0.8667,134.0833,28.720000000000027,73,90,3.3,ID,1696907902
151,magadan,59.5667,150.8,2.1200000000000045,98,100,3.13,RU,1696907903
152,arkhangel'sk,64.5401,40.5433,3.400000000000034,86,100,1.48,RU,1696907904
153,upington,-28.4478,21.2561,18.210000000000036,25,0,0.51,ZA,1696907904
154,port mathurin,-19.6833,63.4167,23.430000000000007,76,76,7.5,MU,1696907905
155,kismayo,-0.3582,42.5454,25.33000000000004,77,47,4.82,SO,1696907905
156,itoman,26.1247,127.6694,29.210000000000036,65,75,9.26,JP,1696907906
157,alofi,-19.0595,-169.9187,25.939999999999998,65,40,5.14,NU,1696907448
158,sable-sur-sarthe,47.8376,-0.3329,11.420000000000016,52,11,1.01,FR,1696907907
159,hermanus,-34.4187,19.2345,14.670000000000016,78,83,9.1,ZA,1696907907
160,saint-pierre,-21.3393,55.4781,23.82000000000005,53,0,1.03,RE,1696907651
161,bei'an,24.5399,109.533,19.129999999999995,78,100,5.24,CN,1696907909
162,tazacorte,28.629,-17.9293,25.54000000000002,61,0,3.09,ES,1696907374
163,new norfolk,-42.7826,147.0587,17.620000000000005,34,30,0.85,AU,1696907910
164,palikir - national government center,6.9248,158.1611,32.410000000000025,70,100,1.54,FM,1696907776
165,el porvenir,13.7617,-87.3458,25.629999999999995,96,91,1.53,HN,1696907911
166,wotho,10.1657,166.0102,28.480000000000018,77,89,6.19,MH,1696907911
167,binzhou,37.3667,118.0167,21.689999999999998,43,26,3.1,CN,1696907912
168,kununurra,-15.7667,128.7333,36.99000000000001,20,21,7.2,AU,1696907500
